id,legenda,has_aud,file_aud,format_aud,artist_aud,music_aud
1,,1,terramerica-folha-verde.ogg,ogg,Terramerica,Folha Verde
2,,0,,,,
3,,0,,,,
4,,0,,,,
5,,0,,,,
6,,0,,,,
7,,0,,,,
8,,0,,,,
9,,1,luiz-gonzaga-a-morte-do-vaqueiro.ogg,ogg,Luiz Gonzaga,A Morte do Vaqueiro
10,,0,,,,
11,,0,,,,
12,,0,,,,
13,,0,,,,
14,,0,,,,
15,,1,eliana-estevao-vai.ogg,ogg,Eliana Estevão,Vai
16,,1,paulo-lepetit-palomares.ogg,ogg,Paulo LePetit,Palomares
17,,0,,,,
18,,0,,,,
19,,0,,,,
20,,1,dercio-marques-sabia.ogg,ogg,Dércio Marques,Sabiá
21,,0,,,,
22,,1,luiz-vieira-voce-vai-ver.ogg,ogg,Luiz Vieira,Você Vai Ver
23,,0,,,,
24,,0,,,,
25,,0,,,,
26,,0,,,,
27,,0,,,,
28,,1,irene-portela-a-malhacao.ogg,ogg,Irene Portela,A Malhação
29,,0,,,,
30,,0,,,,
31,,0,,,,
32,,0,,,,
33,,0,,,,
34,,1,rosa-maria-borboleta-amarela.ogg,ogg,Rosa Maria,Borboleta Amarela
35,,1,maricene-costa-bailarina.ogg,ogg,Maricene Costa,Bailarina
36,,0,,,,
37,,1,deo-lopes-dia-de-festa.ogg,ogg,Deo Lopes,Dia de Festa
38,,0,,,,
39,,1,carlos-pita-casa-das-flautas-bugada.ogg,ogg,Carlos Pita,Casa das Flautas
40,,0,,,,
41,,0,,,,
42,,0,,,,
43,,1,ana-de-hollanda-tres-marias.ogg,ogg,Ana de Hollanda,Três Marias
44,,0,,,,
45,,0,,,,
46,,0,,,,
47,,1,roberto-carlos-eu-quero-apenas.ogg,ogg,Roberto Carlos,Eu Quero Apenas
