Artista,Disco,Ano,Formato,Música,Detalhe,Comprar,Youtube
Luiz Vieira,Em Tempo de Verdade,1971,LP,Você Vai Ver,Composição de Irene Portela,Comprado,
Dércio Marques,Canto Forte,1979,LP,Sabiá,Voz,Comprado,https://www.youtube.com/watch?v=9S1ie0n4GdQ&t=38s
Vários,MPB 1o Festival Universitário da Música Popular Brasileira,1979,LP,A Malhação,Voz,Comprado,https://www.youtube.com/watch?v=HWsTf_kcZlo
Maricene Costa,Maricene Costa,1980,LP,Bailarina,Composição de Irene Portela,Comprado,
Rosa Maria,Vagando,1980,LP,Borboleta Amarela,Composição de Irene Portela,Comprado,
Ana de Hollanda,Ana de Hollanda,1980,LP,Três Marias,Composição de Irene Portela,Comprado,
Ana de Hollanda,Ana de Hollanda,1980,LP,Ciranda,Composição de Irene Portela,Comprado,
Chico Maranhão,Fonte Nova,1980,LP,,Participação no corô,Comprado,
Déo Lopes,Voar,1981,LP,Dia de Festa,Composição de Irene Portela,Talvez (caro),
Eliana Estevão,Bailarina,1981,LP,Bailarina,Composição e participação de Irene Portela,Comprado,
Eliana Estevão,Bailarina,1981,LP,Vai,Composição e participação de Irene Portela,Comprado,
Carlos Pita,Coração de Índio,1981,LP,Casa das Flautas,Voz,Comprado,
Vários,Tributo a Marcus Pereira,1982,LP,De Terezina à São Luiz,Composição de João do Vale e voz de Irene Portela,Comprado,https://www.youtube.com/watch?v=DYIIjUBPZNA&feature=youtu.be&t=358
Vários,"História da MPB, João do Vale",1983,LP,Passarinho,Voz,Comprado,
Terrámerica,Arapuê,1987,LP,Folha Verde,Composição de Irene Portela,Comprado,
Déo Lopes,Relação Natural,1988,LP,Pacífica II,Composição de Irene Portela e Déo Lopes,Talvez (caro),
João Bá,Carrancas,1989,LP,Rede de Varanda,Voz,Comprado,
João Bá,Carrancas,1989,LP,Ladainha de Canudos,Voz,Comprado,
Déo Lopes,Noite Cheia de Estrelas,1993,LP,As Três Estrelas,Composição de Irene Portela,Comprado,
Oswaldinho Viana,São Sebastião do Tijuco Preto,1995,CD,Pau Ferro,Composição de Irene Portela e Alzira Espindula,Não,
Katya Teixeira,Katxerê,1997,CD,Dia de Festa,Composição de Irene Portela,Talvez,
Paulo Lepetit,Saculeja,1998,CD,Palomares,Composição de Irene Portela e Paulo Lepetit,Talvez,
Déo Lopes,Tesouros da Terra,1999,CD,Dia de Festa,Composição de Irene Portela,Não,
Mazé,Nascente,2000,CD,Eh! Beleza,Composição de Irene Portela,Não encontrado,
Mazé,Nascente,2000,CD,Pedra Grande,Composição de Irene Portela,Não encontrado,
