Artista,Disco,Ano,Formato,Música,Detalhe,Comprado,Situação,Youtube
Luiz Vieira ,Em Tempo de Verdade ,1971,LP,Você Vai Ver,Composição,0,Comprar,
Dércio Marques ,Canto Forte ,1979,LP,Sabiá,Voz,1,Comprado,https://www.youtube.com/watch?v=9S1ie0n4GdQ&t=38s
Vários,1o Festival Universitário da MPB,1979,LP,A Malhação,Voz,1,Comprado,https://www.youtube.com/watch?v=HWsTf_kcZlo
Maricene Costa ,Maricene Costa ,1980,LP,Bailarina,Composição,0,Comprar,
Rosa Maria ,Vagando,1980,LP,Borboleta Amarela,Composição,0,Comprar,
Ana de Hollanda ,Ana de Hollanda ,1980,LP,Três Marias,Composição,0,Comprar,
Ana de Hollanda ,Ana de Hollanda ,1980,LP,Ciranda,Composição,0,Comprar,
Chico Maranhão ,Fonte Nova ,1980,LP,,Participação (corô),0,Talvez,
Déo Lopes ,Voar,1981,LP,Dia de Festa ,Composição,0,Talvez (caro),
Eliana Estevão ,Bailarina,1981,LP,Bailarina,Composição e voz,1,Comprado,
Eliana Estevão ,Bailarina,1981,LP,Vai,Composição e voz,1,Comprado,
Carlos Pita ,Coração de Índio,1981,LP,Casa das Flautas,Voz,1,Comprado,
Vários,Tributo a Marcus Pereira ,1982,LP,De Terezina à São Luiz,Voz,1,Comprado,https://www.youtube.com/watch?v=DYIIjUBPZNA&feature=youtu.be&t=358
Vários,"História da MPB, João do Vale",1983,LP,Passarinho,Voz,1,Comprado,
Terrámerica ,Arapuê ,1987,LP,Folha Verde,Composição,0,Comprar,
Déo Lopes ,Relação Natural ,1988,LP,Pacífica II,Composição,0,Talvez (caro),
João Bá ,Carrancas ,1989,LP,Rede de Varanda,Voz,0,Comprar,
João Bá ,Carrancas ,1989,LP,Ladainha de Canudos,Voz,0,Comprar,
Déo Lopes ,Noite Cheia de Estrelas ,1993,LP,As Três Estrelas ,Composição,1,Comprado,
Oswaldinho Viana ,São Sebastião do Tijuco Preto ,1995,CD,Pau Ferro ,Composição,0,Não,
Katya Teixeira ,Katxerê ,1997,CD,Dia de Festa ,Composição,0,Talvez,
Paulo Lepetit,Saculeja,1998,CD,Palomares,Composição,0,Talvez,
Déo Lopes ,Tesouros da Terra ,1999,CD,Dia de Festa ,Composição,0,Não,
Mazé ,Nascente ,2000,CD,Eh! Beleza,Composição,0,Não encontrado,
Mazé ,Nascente ,2000,CD,Pedra Grande,Composição,0,Não encontrado,
